SimulationTime,Episode,Step,TotalVehicles,VehiclesWaiting,QueueLength,CumulativeReward,CurrentReward,CurrentPhase,GreenLightTime,FuelConsumed,AverageWaitTime
3053.32,100,9,365,2,2,0,62.5,1,20,0,0
3063.32,101,6,366,1,1,0,50,2,30,0,0
3073.32,101,9,367,1,1,0,50,2,30,0,0
3083.32,101,15,368,1,1,0,50,2,30,0,0
3093.32,102,3,369,1,1,0,50,0,40,0,0
3103.32,102,5,370,1,1,0,50,0,40,0,0
3116.482,102,10,372,1,1,0,50,0,40,0,0
3126.482,102,14,373,1,1,0,50,0,40,0,0
3136.482,103,6,375,2,2,0,69.5058,1,20,0,0
3146.482,103,9,376,3,3,0,69.5058,1,20,0,0
3156.482,104,3,378,5,5,0,75,2,30,0,0
3166.482,104,10,379,6,6,0,75,2,30,0,0
3176.482,104,13,380,7,7,0,75,2,30,0,0
3186.482,105,5,382,5,5,0,66.66666,0,40,0,0
3196.482,105,6,383,1,1,0,66.66666,0,40,0,0
3206.482,105,11,384,1,1,0,66.66666,0,40,0,0
3216.482,105,16,385,1,1,0,66.66666,0,40,0,0
3226.482,106,6,387,2,2,0,62.5,1,20,0,0
3236.482,106,10,388,3,3,0,62.5,1,20,0,0
3249.666,107,4,390,5,5,0,75,2,30,0,0
3259.666,107,11,391,6,6,0,75,2,30,0,0
3269.666,107,15,393,8,8,0,75,2,30,0,0
3279.666,108,6,394,7,7,0,60.26897,0,40,0,0
3289.666,108,7,395,1,1,0,60.26897,0,40,0,0
3299.666,108,12,396,1,1,0,60.26897,0,40,0,0
3309.666,108,17,397,1,1,0,60.26897,0,40,0,0
3322.975,109,5,398,1,1,0,46.17969,1,23,0,0
3332.975,109,9,399,2,2,0,46.17969,1,23,0,0
3342.975,110,4,401,4,4,0,64.28594,2,30,0,0
3352.975,110,10,402,4,4,0,64.28594,2,30,0,0
3362.975,110,14,403,5,5,0,64.28594,2,30,0,0
3372.975,111,3,404,6,6,0,50,0,40,0,0
3386.273,111,6,406,1,1,0,50,0,40,0,0
3396.273,111,11,407,1,1,0,50,0,40,0,0
3406.273,111,16,408,1,1,0,50,0,40,0,0
3416.273,112,3,409,0,0,0,69.28751,1,19,0,0
3426.273,112,7,410,1,1,0,69.28751,1,19,0,0
3436.273,113,4,411,2,2,0,50,2,30,0,0
3446.273,113,12,413,3,3,0,50,2,30,0,0
3456.273,113,15,414,4,4,0,50,2,30,0,0
3466.273,114,3,415,5,5,0,66.66666,0,40,0,0
3476.273,114,6,417,1,1,0,66.66666,0,40,0,0
3486.273,114,11,418,1,1,0,66.66666,0,40,0,0
3496.273,114,15,419,1,1,0,66.66666,0,40,0,0
3506.273,115,4,420,1,1,0,50,1,20,0,0
3519.375,115,8,421,2,2,0,50,1,20,0,0
3529.375,116,3,423,4,4,0,64.93136,2,30,0,0
3539.375,116,12,424,1,1,0,64.93136,2,30,0,0
3549.375,116,15,425,2,2,0,64.93136,2,30,0,0
3559.375,117,3,426,3,3,0,50,0,40,0,0
3569.375,117,6,427,1,1,0,50,0,40,0,0
3579.375,117,11,428,1,1,0,50,0,40,0,0
3592.621,117,16,430,1,1,0,50,0,40,0,0
3602.621,118,5,431,1,1,0,69.36926,1,20,0,0
3612.621,118,9,432,2,2,0,69.36926,1,20,0,0
3622.621,119,3,434,4,4,0,50,2,30,0,0
3632.621,119,11,435,4,4,0,50,2,30,0,0
3642.621,119,14,436,5,5,0,50,2,30,0,0
3655.691,120,4,437,3,3,0,50,0,40,0,0
3665.691,120,7,438,1,1,0,50,0,40,0,0
3675.691,120,13,439,0,0,0,50,0,40,0,0
3685.691,120,18,440,0,0,0,50,0,40,0,0
3695.691,121,4,441,0,0,0,58.04528,1,20,0,0
3705.691,121,9,443,2,2,0,58.04528,1,20,0,0
3715.691,122,2,444,3,3,0,50,2,30,0,0
3725.691,122,8,445,2,2,0,50,2,30,0,0
3735.691,122,13,446,3,3,0,50,2,30,0,0
3745.691,123,3,447,4,4,0,66.66666,0,40,0,0
3755.691,123,6,448,1,1,0,66.66666,0,40,0,0
3765.691,123,12,449,1,1,0,66.66666,0,40,0,0
3775.691,123,16,450,1,1,0,66.66666,0,40,0,0
3785.691,124,3,451,0,0,0,50,1,20,0,0
